#file time_0 time_1 time_2 time_3 time_4 time_5 time_6 time_7 time_8 time_9 time_10 time_11 time_12 time_13 time_14 time_15 time_16 time_17 time_18 time_19 time_20 time_21 time_22 time_23 time_24 
geo020s09a0136v01 0.0011 -0.0016 -0.0375 -0.0551 -0.0301 0.0135 0.0110 0.0037 0.0241 0.0318 0.0242 -0.0065 -0.0088 -0.0069 -0.0030 -0.0193 -0.0164 -0.0113 -0.0055 0.0008 -0.0037 -0.0122 -0.0067 0.00003 0.0022 
geo020s09a0136v02 -0.0087 -0.0128 -0.0142 -0.0154 -0.0135 -0.0180 -0.0186 -0.0155 -0.0091 -0.0038 -0.0019 0.0003 0.0048 0.0044 0.0088 0.0140 0.0196 0.0128 0.0044 -0.0029 -0.0135 -0.0085 -0.0031 0.0005 0.0063 
geo020s09a0137v01 0.0010 0.0047 0.0039 0.0049 0.0083 0.0083 0.0076 0.0002 -0.0054 -0.0106 -0.0160 -0.0136 0.0003 0.0092 0.0054 0.0006 -0.0011 -0.0007 -0.0018 -0.0007 0.0052 0.0084 0.0062 0.0050 0.0069 
geo020s09a0139v01 -0.0176 -0.0118 -0.0120 -0.0076 -0.0035 -0.00008 -0.0052 -0.0002 0.0097 0.0038 0.0088 0.0110 0.0161 0.0130 -0.0007 -0.0164 -0.0065 -0.0067 -0.0082 -0.0048 0.0030 0.0091 0.0083 0.0144 0.0139 
geo020s09a0141v01 0.0026 0.0035 0.0019 0.0039 0.0059 0.0058 0.0066 0.0059 0.0059 0.0059 -0.0002 0.0027 0.0058 0.0038 0.0004 -0.0032 -0.0014 -0.0040 -0.0072 -0.0113 -0.0111 -0.0097 -0.0111 -0.0110 -0.0078 
geo020s09a0142v01 0.0127 0.0113 0.0113 0.0081 0.0007 0.0017 -0.0015 -0.0055 -0.0067 -0.0032 0.0041 0.0089 0.0113 0.0086 -0.0036 -0.0106 -0.0194 -0.0207 -0.0145 -0.0049 0.0016 0.0013 -0.0011 0.0039 0.0033 
geo020s09a0142v02 -0.0255 -0.0147 0.0011 0.0076 0.0048 -0.0007 -0.0026 0.0007 0.0046 0.0109 0.0090 0.0063 0.0050 0.0073 0.0039 0.0026 0.0024 0.0037 0.0013 -0.0058 -0.0055 -0.0064 -0.0090 -0.0061 -0.0028 
geo020s09a0143v02 0.0019 -0.0008 -0.0104 -0.0211 -0.0230 -0.0159 -0.0023 0.0059 0.0071 0.0022 -0.0001 0.0012 0.0065 0.0065 0.0086 0.0080 0.0073 0.0078 0.0042 0.0029 0.0026 -0.0011 -0.0063 -0.0100 -0.0083 
geo020s09a0144v01 0.0149 0.0121 0.0071 -0.0058 -0.0113 -0.0145 -0.0097 -0.0073 -0.0094 -0.0061 -0.0035 0.0042 0.0083 0.0137 0.0244 0.0261 0.0132 -0.0016 0.0005 0.0011 0.0099 0.0091 0.0068 -0.0061 -0.0148 
geo020s09a0144v02 -0.0141 -0.0196 -0.0174 -0.0118 -0.0039 0.0054 0.0088 0.0100 0.0097 0.0086 0.0116 0.0126 0.0100 0.0073 0.0071 0.0012 -0.0067 -0.0122 -0.0133 -0.0152 -0.0160 -0.0152 -0.0120 -0.0096 -0.0081 
geo020s09a0145v01 0.0229 0.0467 0.0226 0.0118 -0.0104 -0.0316 -0.0423 -0.0513 -0.0522 -0.0549 -0.0493 -0.0410 -0.0242 -0.0205 0.0079 0.0100 0.0299 0.0259 0.0244 0.0237 0.0153 0.0178 -0.0024 0.0024 0.0033 
geo020s09a0146v02 -0.0074 -0.0044 -0.0045 -0.0039 -0.0025 0.0025 0.0035 0.0011 -0.0065 -0.0112 -0.0076 0.0043 0.0148 0.0126 0.0006 -0.0115 -0.0135 -0.0005 0.0020 0.0022 0.0022 0.0067 0.0047 0.0027 0.0047 
geo020s09a0148v01 -0.0038 -0.0013 -0.0014 0.0020 0.0037 0.0062 0.0029 -0.0052 -0.0127 -0.0113 -0.0095 -0.0039 0.0054 0.0183 0.0190 0.0109 -0.0018 -0.0066 -0.0062 -0.0009 0.0036 0.0080 0.0062 0.0020 -0.0031 
geo020s09a0148v02 -0.0134 -0.0182 -0.0168 -0.0121 -0.0054 -0.0064 -0.0067 0.0012 0.0014 0.0071 0.0060 0.0049 0.0060 0.0019 0.0042 0.0084 0.0095 0.0133 0.0134 0.0079 0.0012 -0.0097 -0.0079 -0.0042 -0.0055 
geo020s09a0149v01 0.0025 0.0019 0.0040 0.0054 0.0078 0.0104 0.0033 -0.0039 -0.0088 -0.0063 -0.0072 -0.0083 -0.0052 0.0026 0.0057 0.0052 0.0007 -0.0037 -0.0082 -0.0099 -0.0092 -0.0110 -0.0059 0.0025 0.0091 
geo020s09a0153v02 0.0037 -0.0005 -0.0029 0.0016 0.0064 0.0078 0.0059 0.0005 -0.0078 -0.0118 -0.0118 -0.0104 -0.0100 -0.0105 -0.0054 0.0021 0.0095 0.0111 0.0116 0.0077 0.0069 0.0035 0.0003 0.00009 -0.0081 
geo020s09a0154v01 0.0185 0.0130 0.0177 0.0164 0.0133 0.0057 -0.0007 -0.0034 -0.0045 -0.0104 -0.0111 -0.0196 -0.0083 -0.0075 -0.0064 -0.0055 -0.0092 -0.0095 -0.0061 -0.0021 -0.0011 0.0054 0.0087 0.0041 0.0029 
geo020s09a0154v02 0.0101 -0.1394 0.0518 0.0763 0.0471 0.0286 0.0115 -0.0094 -0.0185 -0.0159 -0.0143 -0.0176 -0.0226 -0.0221 -0.0171 -0.0013 0.0156 0.0094 -0.0062 -0.0324 -0.0430 -0.0323 -0.0153 0.0038 0.0139 
geo020s09a0155v02 0.0026 0.0001 -0.0043 -0.0103 -0.0146 -0.0152 -0.0111 -0.0042 0.0009 0.0025 0.0049 0.0068 0.0111 0.0095 0.0062 0.0023 0.0025 0.0032 0.0050 0.0089 0.0083 0.0043 -0.0059 -0.0123 -0.0158 
geo020s09a0156v01 0.0573 0.0452 0.0157 -0.0035 -0.0025 0.0073 -0.0047 -0.0199 -0.0240 -0.0178 -0.0154 -0.0142 -0.0159 -0.0164 -0.0128 -0.0107 -0.0122 -0.0068 -0.0060 -0.0042 0.0009 0.0070 0.0088 0.0086 0.0074 
geo020s09a0156v02 -0.0084 -0.0203 -0.0307 -0.0284 -0.0252 -0.0165 -0.0051 0.0039 0.0089 0.0168 0.0258 0.0231 0.0164 0.0093 0.0035 -0.0037 -0.0111 -0.0191 -0.0206 -0.0196 -0.0134 -0.0039 0.0030 0.0026 -0.0002 
geo020s09a0158v01 0.0038 0.0009 -0.0028 -0.0066 -0.0060 -0.0054 -0.0083 -0.0078 -0.0139 -0.0113 -0.0103 0.0014 0.0107 0.0005 0.00006 -0.00009 -0.0097 -0.0017 0.0073 -0.0202 0.0070 0.0220 0.0296 0.0158 0.0319 
geo020s09a0158v02 -0.0278 -0.0124 0.0050 0.0161 0.0195 0.0143 0.0096 0.0040 0.0021 0.0016 -0.0044 -0.0062 -0.0083 -0.0047 0.0039 0.0112 0.0113 0.0100 0.0082 0.0036 -0.0022 -0.0067 -0.0090 -0.0077 -0.0069 
geo020s09a0159v01 -0.0117 -0.0245 -0.0107 -0.0339 -0.0203 -0.0032 -0.0002 0.0059 -0.0053 -0.0049 0.0036 0.0091 0.0052 0.0045 0.0023 0.0045 0.0046 0.0012 -0.0005 -0.0001 0.0009 -0.0085 -0.0103 -0.0075 -0.0057 
geo020s09a0161v02 0.0095 0.0079 0.0064 0.0002 -0.0049 -0.0030 -0.0014 -0.0012 0.0003 0.0048 0.0062 0.0008 -0.0056 -0.0072 -0.0095 -0.0037 0.0010 0.0037 0.0010 -0.0051 -0.0068 -0.0031 0.0003 -0.0018 -0.0077 
geo020s09a0162v01 0.0293 0.0352 0.0341 0.0237 -0.0038 -0.0159 -0.0364 -0.0500 -0.0457 -0.0239 -0.0150 -0.0212 -0.0246 -0.0272 -0.0087 0.0006 0.0072 0.0040 0.0035 -0.0050 0.0011 0.0045 0.0072 0.0049 0.0075 
geo020s09a0162v02 0.0034 0.0079 0.0087 0.0057 -0.0011 -0.0015 0.0010 0.0031 0.0069 0.0035 -0.0019 -0.0023 -0.0025 -0.0014 0.0002 0.0030 0.0023 -0.0022 -0.0017 0.0040 0.0100 0.0113 0.0087 0.0094 0.0095 
geo020s09a0163v01 0.0413 0.0316 0.0159 -0.0040 -0.0099 -0.0104 -0.0155 -0.0174 -0.0097 -0.0062 -0.0061 -0.0065 -0.0010 0.0006 0.0014 0.0055 0.0078 0.0130 0.0086 0.0067 0.0043 0.0050 0.0045 0.0010 0.0023 
geo020s09a0167v01 0.0229 0.0227 0.0212 0.0154 0.0080 0.0014 0.0029 0.0017 -0.0012 -0.0038 -0.0047 -0.0012 -0.0064 -0.0080 -0.0068 -0.0062 -0.0065 -0.0142 -0.0090 -0.0014 0.0100 0.0120 0.0107 0.0045 0.0027 
geo020s09a0170v02 -0.0047 -0.0031 -0.0009 0.0018 0.0041 0.0012 -0.0018 -0.0077 -0.0068 -0.0034 -0.0012 0.0023 0.0071 0.0077 0.0077 0.0056 0.0026 0.0037 0.0014 -0.0029 -0.0016 -0.0030 -0.0047 -0.0053 -0.0044 
geo020s09a0174v01 0.0036 0.0073 0.0091 0.0061 0.0027 -0.0002 -0.0002 -0.0032 -0.0029 -0.0033 -0.0016 -0.00007 -0.0010 -0.0011 -0.000009 -0.0016 -0.0021 -0.0062 0.0004 0.0008 0.0029 0.0062 0.0066 0.0071 -0.0012 
geo020s09a0174v02 -0.0020 0.0024 0.0067 0.0077 0.0099 0.0087 0.0060 0.0004 -0.0085 -0.0117 -0.0102 -0.0168 -0.0191 -0.0182 -0.0195 -0.0211 -0.0159 -0.0005 0.0144 0.0203 0.0220 0.0222 0.0230 0.0199 0.0187 
geo020s09a0175v01 -0.0117 -0.0137 -0.0126 -0.0093 -0.0079 -0.0031 0.0011 0.0048 0.0037 0.0004 0.00008 0.0025 0.0006 0.0021 0.0047 0.0057 0.0099 0.0074 0.0049 0.0015 0.0003 0.0012 0.0036 0.0023 0.0036 
geo020s09a0179v02 -0.0123 -0.0113 -0.0081 -0.0068 -0.0031 0.0024 0.0021 0.0040 -0.0004 0.0008 0.0008 -0.0006 0.00002 0.0022 0.0041 0.0033 0.0002 0.0018 0.0039 0.0022 0.0018 0.0039 0.0033 0.0059 0.0053 
geo020s09a0180v01 -0.0026 -0.0045 -0.0024 0.000002 0.0006 0.00004 0.0035 0.0039 0.0025 -0.0012 -0.0035 -0.0019 -0.0044 -0.0082 -0.0035 -0.0002 0.0023 0.0024 0.0037 0.0043 0.0016 -0.0003 0.0072 0.0065 0.0089 
geo020s09a0181v01 -0.0015 -0.0036 -0.0069 -0.0066 -0.0053 -0.0068 -0.0121 -0.0143 -0.0094 -0.0060 0.0002 0.0025 0.0040 0.0023 -0.0025 -0.0007 0.0037 -0.0030 -0.0102 -0.0005 0.0171 0.0378 0.0397 0.0291 0.0274 
geo020s09a0182v01 0.0139 0.0151 0.0090 0.0040 -0.0004 -0.0039 -0.0062 -0.0069 -0.0096 -0.0097 -0.0063 -0.0053 -0.0030 0.0084 0.0041 0.0078 0.0114 0.0156 0.0135 0.0069 -0.0263 -0.0057 -0.0008 0.0053 0.0043 
geo020s09a0182v02 0.0116 0.0143 0.0165 0.0158 0.0143 0.0116 0.0030 0.0073 0.0151 0.0164 0.0090 -0.0064 -0.0086 -0.0106 -0.0137 -0.0260 -0.0177 -0.0141 -0.0147 -0.0209 -0.0014 0.0037 -0.0005 -0.0068 -0.0096 
geo020s09a0183v02 0.0060 0.0121 0.0124 0.0102 0.0085 0.0084 0.0048 -0.0009 -0.0079 -0.0129 -0.0147 -0.0140 -0.0023 0.0096 0.0129 0.0031 -0.0051 -0.0077 -0.0075 -0.0039 0.0017 0.0008 -0.0021 -0.0014 0.0033 
geo020s09a0184v01 0.0225 0.0051 -0.0084 -0.0410 -0.0157 0.0221 0.0217 0.0406 0.0641 -0.0026 0.0470 0.0860 0.1223 0.0695 -0.0056 -0.0440 -0.0546 -0.0491 -0.1346 -0.0841 -0.0317 0.0177 0.0632 0.0852 0.0396 
geo020s09a0184v02 0.0109 0.0083 0.0052 0.0024 -0.0004 0.0007 0.0016 -0.0023 -0.0052 -0.0050 -0.0021 -0.0011 -0.0028 -0.0054 0.0028 0.0038 0.0048 0.0060 0.0089 0.0081 0.0057 0.0021 0.0009 0.0004 -0.0034 
geo020s09a0189v01 0.0011 -0.0017 -0.0021 -0.0123 -0.0037 -0.0006 0.0010 0.0032 0.0037 0.0060 0.0072 0.0020 0.0018 0.0039 0.0029 -0.0029 -0.0059 -0.0038 -0.0032 -0.0027 -0.0011 0.0028 0.0027 0.0026 0.0071 
geo020s09a0190v01 -0.0079 -0.0226 -0.0312 0.0656 0.0669 0.0630 0.0380 -0.0033 -0.0108 -0.0418 -0.0526 -0.0425 -0.0330 -0.0303 -0.0304 -0.0319 -0.0381 -0.0358 -0.0574 -0.0468 -0.0134 0.0100 0.0135 0.0188 0.0246 
geo020s09a0192v01 -0.0014 -0.0016 -0.0003 -0.0008 -0.0025 -0.0084 -0.0053 -0.0033 -0.0007 0.00003 0.0025 0.0057 0.0061 0.0013 -0.0043 -0.0012 -0.0017 -0.0003 0.0030 0.0070 0.0034 0.0021 -0.0003 -0.0034 -0.0081 
geo020s09a0192v02 0.0001 -0.0022 -0.0030 -0.0022 0.0005 0.0019 0.0070 0.0106 0.0087 0.0022 -0.0032 -0.0043 -0.0070 -0.0064 -0.0047 -0.0018 -0.0011 -0.0017 -0.0029 -0.0047 -0.0079 -0.0098 -0.0094 -0.0057 -0.0057 
geo020s09a0193v01 0.0043 0.0014 0.0078 0.0092 0.0087 0.0050 0.0015 0.0025 0.0039 0.0086 0.0105 0.0063 -0.0042 -0.0091 -0.0045 0.0039 0.0043 0.0318 0.0306 -0.0034 -0.0189 -0.0226 -0.0112 -0.0132 -0.0172 
geo020s09a0194v01 -0.0114 -0.0111 -0.0138 -0.0225 -0.0218 -0.0116 -0.0081 -0.0048 0.0012 0.0013 0.0055 0.0033 0.0002 -0.0033 0.0064 0.0204 0.0271 0.0341 0.0347 0.0290 0.0185 0.0054 -0.0038 -0.0052 -0.0136 
geo020s09a0194v02 0.0113 0.0033 -0.0012 -0.0046 -0.0071 -0.0081 -0.0051 -0.0031 -0.0046 -0.0062 -0.0025 0.0007 0.0021 0.0015 0.0055 0.0081 0.0032 -0.0034 -0.0098 -0.0134 -0.0096 0.0026 0.0130 0.0157 0.0084 
geo020s09a0195v01 -0.0030 -0.0041 -0.0032 -0.0005 -0.0002 -0.0012 -0.0039 -0.0006 -0.0002 0.0013 0.0017 0.0056 0.0041 -0.0061 -0.0081 -0.0036 -0.0053 -0.0073 -0.0022 0.0076 0.0061 0.0040 -0.0024 0.0017 0.0037 
geo020s09a0197v01 -0.0031 -0.0005 0.0038 0.0060 0.0087 0.0061 0.0047 0.0039 0.0013 0.0030 -0.0004 -0.0042 -0.0041 -0.0042 -0.0057 -0.0033 -0.0024 0.0006 0.0006 0.0010 0.0001 0.0022 0.0006 0.0021 0.0018 
geo020s09a0197v02 0.0067 0.0010 -0.0027 -0.0080 -0.0065 0.0049 0.0011 0.0056 0.0138 0.0164 0.0132 0.0075 0.0035 0.0017 0.0003 -0.0014 -0.0018 -0.0026 -0.0042 -0.0044 -0.0064 -0.0097 -0.0194 -0.0170 -0.0104 
geo020s09a0198v01 -0.0086 -0.0059 -0.0001 0.0040 0.0010 0.0027 -0.0020 0.0013 0.0009 -0.0033 0.0049 0.0037 0.0067 0.0034 0.0072 0.0042 -0.0029 -0.0077 -0.0042 -0.0038 -0.0047 -0.0022 0.0039 0.0061 0.0074 
geo020s09a0198v02 -0.0086 0.0010 -0.0057 -0.0087 -0.0108 -0.0159 0.0009 0.0225 0.0029 -0.0050 0.0068 0.0090 -0.0067 -0.0036 0.0153 0.0130 0.0092 0.0109 0.0046 0.0007 -0.0036 -0.0015 -0.0003 0.0072 0.0042 
geo020s09a0199v02 -0.0091 -0.0078 -0.0002 0.0052 0.0076 0.0075 0.0075 0.0063 0.0029 -0.0003 0.0021 0.0034 0.0062 0.0019 0.0044 0.0054 0.0049 0.0065 -0.0017 -0.0058 -0.0043 -0.0083 -0.0063 -0.0037 -0.0017 
geo020s09a0200v01 -0.0183 -0.0284 -0.0269 -0.0155 -0.0137 -0.0004 0.0159 0.0330 0.0429 0.0397 0.0296 0.0213 0.0048 -0.0022 -0.0107 -0.0221 -0.0123 -0.0291 -0.0284 -0.0214 -0.0167 -0.0006 0.0103 0.0223 0.0267 
geo020s09a0200v02 -0.0069 -0.0096 -0.0082 -0.0075 -0.0053 0.00001 0.0022 0.0089 0.0139 0.0100 0.0014 0.0007 0.0084 0.0089 0.0092 0.0003 -0.0028 -0.0078 -0.0150 -0.0143 -0.0078 -0.0045 -0.0005 -0.0008 -0.0026 
geo020s09a0201v01 0.0094 0.0146 0.0150 0.0146 0.0107 -0.0020 -0.0030 -0.0008 -0.0009 -0.0072 -0.0077 -0.0072 -0.0085 -0.0162 -0.0103 -0.0106 -0.0039 -0.0041 -0.0018 0.0040 0.0079 0.0032 -0.0039 -0.0079 -0.0055 
geo020s09a0202v01 0.0052 0.0045 0.0039 0.0016 -0.0057 -0.0067 -0.0047 -0.0071 -0.0062 -0.0003 0.0031 0.0067 0.0058 0.0089 0.0072 0.0015 -0.0043 -0.0048 -0.0036 -0.0034 -0.0029 0.00007 0.0005 -0.0012 -0.0062 
geo020s09a0202v02 0.0169 0.0093 -0.0023 -0.0157 -0.0245 -0.0213 -0.0172 -0.0110 -0.0049 0.0027 0.0060 0.0040 0.0012 0.0008 0.0054 0.0064 0.0080 0.0090 0.0082 0.0023 -0.0112 -0.0134 -0.0078 -0.0047 -0.0054 
geo020s09a0203v01 0.0063 0.0069 0.0028 -0.0001 0.0022 0.0015 0.0003 -0.0022 -0.0055 -0.0058 -0.0035 -0.0034 -0.0030 -0.0012 0.0007 -0.00001 -0.0008 0.0034 0.0046 0.0036 0.0060 0.0051 0.0091 0.0093 0.0028 
geo020s09a0206v01 0.0152 0.0385 0.0095 0.0401 0.0373 0.0293 0.0200 0.0074 -0.0075 -0.0273 -0.0406 -0.0393 -0.0373 -0.0236 -0.0271 -0.0162 -0.0144 -0.0233 -0.0251 -0.0181 -0.0109 -0.0100 -0.0088 -0.0104 -0.0022 
geo020s09a0206v02 -0.0054 0.0022 0.0042 -0.0008 -0.0059 -0.0098 -0.0138 -0.0134 -0.0111 -0.0017 0.0036 0.0077 0.0124 0.0142 0.0117 0.0031 0.0003 -0.0012 -0.0010 -0.0077 -0.0088 -0.0093 -0.0082 -0.0109 -0.0092 
geo020s09a0207v02 0.0030 0.0063 0.0088 0.0106 0.0055 0.0021 0.0004 0.0001 0.0051 0.0096 0.0089 0.0018 -0.0032 -0.0056 -0.0123 -0.0158 -0.0109 -0.0101 -0.0049 -0.0009 0.0044 0.0083 0.0066 0.0045 0.0050 
geo020s09a0208v01 -0.0031 -0.0052 -0.0049 -0.0045 -0.0053 -0.0053 -0.0028 -0.0040 0.0024 0.0056 0.0039 0.0059 0.0089 0.0043 0.0008 -0.0033 -0.0026 -0.0032 -0.0017 -0.0047 -0.0036 -0.0009 -0.0012 0.0006 0.0013 
geo020s09a0208v02 0.0002 0.0031 0.0056 0.0043 0.0033 -0.0022 -0.0038 -0.0036 -0.0032 -0.0050 -0.0059 -0.0006 0.0025 0.0051 0.0022 0.0004 0.0041 0.0067 0.0120 0.0129 0.0105 0.0069 -0.0013 -0.0049 -0.0057 
geo020s09a0209v01 0.0139 0.0125 0.0029 -0.0056 -0.0027 -0.0029 0.0028 0.0053 0.0096 0.0048 0.0052 0.0073 0.0100 0.0108 0.0027 0.0073 0.0045 0.00008 -0.0081 -0.0042 -0.0032 -0.0026 -0.0001 0.0041 0.0014 
geo020s09a0211v01 -0.0081 -0.0063 -0.0028 0.0063 0.0111 0.0071 0.0019 -0.0050 -0.0076 -0.0067 -0.0032 0.0073 0.0148 0.0069 0.0029 -0.0042 -0.0024 0.0048 0.0036 0.0045 0.0072 0.0044 0.0048 0.0087 0.0048 
geo020s09a0213v01 0.0118 0.0196 0.0195 0.0030 0.0216 0.0258 0.0184 0.0169 0.0061 0.0091 -0.0020 -0.0056 -0.0055 -0.0106 -0.0006 0.0023 -0.0188 -0.0102 -0.0092 -0.0117 -0.0100 -0.0282 -0.0751 -0.0479 -0.0023 
geo020s09a0216v01 -0.0114 -0.0056 -0.0091 -0.0078 -0.0063 -0.0011 0.0012 -0.0026 -0.0090 -0.0096 -0.0021 0.0110 0.0188 0.0201 0.0177 0.0182 0.0173 0.0150 0.0110 0.0083 0.0025 0.0002 -0.0050 -0.0050 -0.0036 
geo020s09a0220v01 0.0043 0.0042 -0.0033 0.0020 -0.0003 -0.0049 -0.0053 -0.0038 -0.0043 -0.0046 -0.0031 -0.0042 -0.0012 0.0005 0.0051 0.0095 0.0117 0.0062 0.0026 -0.0017 -0.0039 -0.0074 -0.0097 -0.0077 -0.0077 
geo020s09a0220v02 -0.0137 -0.0154 -0.0099 0.0026 0.0078 0.0063 0.0019 -0.0007 -0.0010 -0.0002 -0.0002 0.0008 -0.0018 -0.0022 -0.0021 0.0052 0.0077 0.0058 0.0004 0.0010 0.0038 0.0049 0.0028 0.0040 0.0026 
geo020s09a0221v01 -0.0032 -0.0053 -0.0127 -0.0053 -0.0335 -0.0477 -0.0167 0.0119 0.0098 0.0411 0.0103 0.0145 -0.0018 0.0086 -0.0431 0.0478 0.1519 0.1279 0.0687 0.0403 0.0247 -0.0175 -0.0428 -0.0570 -0.0666 
geo020s09a0221v02 -0.0026 -0.0015 -0.0013 -0.0030 -0.0014 0.0014 -0.0016 -0.0034 -0.0029 -0.0012 -0.0020 -0.0020 -0.0002 0.0003 0.0001 -0.0004 0.0021 0.0051 0.0054 0.0070 0.0081 0.0138 0.0153 0.0091 0.0020 
geo020s09a0222v01 -0.0009 -0.0013 -0.0026 -0.0013 0.0041 0.0005 0.0033 0.0024 0.0035 0.0027 -0.0031 -0.0035 -0.0042 -0.0037 -0.0063 -0.0053 -0.0021 -0.0004 -0.0008 -0.0022 -0.0008 0.0021 -0.0002 -0.0015 -0.0006 
geo020s09a0223v02 -0.0065 -0.0062 -0.0031 -0.0038 -0.0016 0.0006 0.00003 0.0003 0.0040 0.0030 0.0032 0.0003 0.0020 0.0013 0.0024 -0.0003 0.0009 -0.0043 -0.0114 -0.0176 -0.0217 -0.0156 0.0002 0.0104 0.0136 
geo020s09a0224v01 -0.0104 -0.0029 0.0052 0.0119 0.0164 0.0112 0.0134 0.0138 0.0146 0.0074 0.0059 0.0038 0.0069 0.0113 0.0165 0.0106 -0.0020 -0.0211 -0.0200 -0.0015 0.0106 0.0127 0.0032 -0.0056 -0.0094 
geo020s09a0224v02 -0.0038 -0.0033 -0.0025 0.0002 0.0039 0.0019 -0.0054 -0.0098 -0.0105 -0.0065 0.0021 0.0142 0.0231 0.0185 0.0079 0.0006 -0.0007 -0.0021 -0.0073 -0.0035 0.0051 0.0089 0.0129 0.0159 0.0135 
geo020s09a0225v02 -0.0004 -0.0004 -0.0035 -0.0053 -0.0071 -0.0048 -0.0064 -0.0068 -0.0040 0.0025 0.0053 0.0036 0.0015 -0.0006 0.0003 0.0014 0.0003 0.0028 0.0041 0.0028 -0.0002 -0.0074 -0.0145 -0.0209 -0.0187 
geo020s09a0226v01 0.0067 0.0102 0.0099 0.0007 -0.0048 -0.0077 -0.0098 -0.0076 -0.0049 0.0031 0.0035 0.0009 0.0027 0.0033 0.0014 0.0017 0.0055 0.0051 -0.0008 -0.0098 -0.0054 -0.0066 -0.0018 -0.0041 -0.0030 
geo020s09a0228v01 -0.0004 0.0004 -0.0038 -0.0075 -0.0060 -0.0049 -0.0027 -0.0032 -0.0055 -0.0072 -0.0092 -0.0122 -0.0081 -0.0026 -0.0008 0.0010 0.0019 0.0032 0.0048 0.0058 0.0061 0.0035 0.0052 0.0014 -0.0008 
geo020s09a0228v02 -0.0048 -0.0017 0.0001 -0.0009 -0.0036 -0.0005 0.0026 0.0010 0.0006 0.0022 0.0096 0.0099 0.0090 0.0065 0.0048 -0.0011 -0.0053 -0.0073 -0.0091 -0.0098 -0.0085 -0.0027 0.0067 0.0125 0.0084 
geo020s09a0229v01 -0.0009 -0.0058 -0.0098 -0.0079 0.0007 0.0034 0.0061 0.0124 0.0163 0.0109 0.0025 -0.0015 -0.0070 -0.0098 -0.0119 -0.0114 -0.0068 0.0017 0.0058 0.0095 0.0128 0.0141 0.0089 0.0053 0.0013 
geo020s09a0233v02 0.0011 0.0064 0.0072 0.0013 -0.0069 -0.0117 -0.0140 -0.0133 -0.0078 0.0046 0.0152 0.0165 0.0105 0.0090 0.0039 -0.0016 -0.0060 -0.0053 -0.0040 -0.0004 -0.0022 -0.0007 -0.0033 -0.0025 -0.0036 
geo020s09a0234v02 -0.0014 -0.0055 -0.0045 -0.0013 0.0037 0.0030 0.0036 0.0035 0.0013 -0.0005 0.0010 0.0005 -0.0007 -0.0003 -0.0030 -0.0013 -0.0020 -0.0023 -0.0048 -0.0020 -0.0024 -0.0014 0.0016 0.0036 0.0036 
geo020s09a0239v01 0.0172 0.0202 0.0121 -0.0213 -0.0434 -0.0033 0.0232 -0.0121 -0.0054 0.0191 0.0183 0.0434 0.0270 0.0153 0.0175 0.0048 -0.0290 -0.0234 -0.0257 -0.0128 -0.0001 0.0018 -0.0057 -0.0143 -0.0101 
geo020s09a0239v02 -0.0155 -0.0082 0.0046 0.0154 0.0144 0.0088 -0.0003 -0.0044 -0.0053 -0.0054 -0.0036 0.0004 -0.0007 0.0006 0.0035 0.0093 0.0076 0.0084 0.0061 0.0048 0.0052 0.0034 0.0022 -0.0042 -0.0091 
geo020s09a0240v01 -0.0036 -0.0062 -0.0067 -0.0121 -0.0078 -0.0017 0.0013 0.0097 0.0197 0.0256 0.0229 0.0101 -0.0047 -0.0160 -0.0209 -0.0066 0.0167 0.0368 0.0402 0.0264 0.0048 -0.0183 -0.0384 -0.0470 -0.0449 
geo020s09a0240v02 0.0057 0.0058 0.0012 0.0030 0.0046 0.0028 0.0011 0.0048 0.0103 0.0054 -0.0093 -0.0238 -0.0224 -0.0086 0.0071 0.0191 0.0217 0.0175 0.0108 0.0111 0.0138 0.0101 0.0044 0.0010 -0.0026 
geo020s09a0241v01 0.0064 0.0033 0.0020 0.0048 0.0026 -0.0019 -0.0081 -0.0084 -0.0063 -0.0051 -0.0037 -0.0001 0.0015 -0.0009 -0.0019 0.0004 0.0007 0.0009 0.0033 0.0034 0.0021 -0.0029 -0.0006 0.0010 -0.0004 
geo020s09a0241v02 0.0234 0.0193 0.0034 -0.0037 -0.0089 -0.0138 -0.0175 -0.0171 -0.0066 -0.0047 -0.0049 0.0015 0.0091 0.0129 0.0071 0.0083 0.0041 0.0044 -0.0055 -0.0129 -0.0110 -0.0019 -0.0102 -0.0042 0.0013 
geo020s09a0242v01 -0.0090 -0.0014 0.0025 0.0032 0.0050 0.0131 0.0105 0.0024 -0.0019 0.0043 0.0057 -0.0014 -0.0002 -0.0043 -0.0095 -0.0076 -0.0051 -0.0070 -0.0047 0.0017 0.0075 0.0081 0.0082 0.0049 0.0038 
geo020s09a0242v02 0.0016 -0.0013 -0.0032 -0.0008 0.00001 -0.0049 -0.0128 -0.0163 -0.0166 -0.0090 0.0099 0.0300 0.0302 0.0137 -0.0013 -0.0130 -0.0148 -0.0096 -0.0057 -0.0047 -0.0005 0.0013 0.0020 0.0061 0.0069 
